Fecha;# Factura;Descripcion / Rubro;Monto en Bs;Tasa BCV;Soporte
25/6/2026;167098;INSUMOS MEDICOS (CATETER, ALGODON, SOLUCION, JERINGAS, GASAS..);61.619,51;621,52;https://drive.google.com/file/d/12dusQiVieFdQvn27v0i3P2ybulgH0yQZ/view?usp=drive_link
25/6/2026;7208689;EMPAQUES PARA COMIDA;13.815,13;622,21;https://drive.google.com/file/d/1XpAq7L3aOSbPkCwQjMRPWIys2pRmV9S3/view?usp=drive_link
25/6/2026;103020;PROTEINA PARA COCINAR;4.586,89;621,52;https://drive.google.com/file/d/1exWkICT73WzDVtSgLOQz0mhk48xQQrGA/view?usp=drive_link
26/6/2026;61772190609;VIATICOS DANIEL;2.000,00;622,21;https://drive.google.com/file/d/1BLxGViQR5zkgzalTSVTUxV5fgnh5g50m/view?usp=drive_link
26/6/2026;4607;POWER BANK;111.998,46;622,21;https://drive.google.com/file/d/1DhlCaj8T6BXhthCuSWzY-OeCqUwe3eEo/view?usp=drive_link
26/6/2026;31779;POWER BANK;111.998,43;622,21;https://drive.google.com/file/d/1hUExat3L91eJBOkvi-wsNl95YpcyGJVj/view?usp=drive_link
26/6/2026;Ver factura;CAJAS DE AGUA;54.878,85;622,21;https://drive.google.com/file/d/1MPNYeRR8Wy-qse7TEZMwGZNK7UdOZFYl/view?usp=drive_link
26/6/2026;77928;CAJAS DE AGUA;4.998,72;622,21;https://drive.google.com/file/d/1Z9TSyp0MwQN86wuQV-4yPT_6WMkDRM_E/view?usp=drive_link
26/6/2026;7119214;VASOS;3.704,40;622,21;https://drive.google.com/file/d/1GlIMiVLwiL3JgXPu8saeBu7_-etL32m2/view?usp=drive_link
26/6/2026;24425;VASOS;1.493,30;622,21;https://drive.google.com/file/d/15K5gvASzah8QFYdgGRyOIHVfCsMIcB29/view?usp=drive_link
26/6/2026;77935;AGUA HELEAL;16.518,17;622,21;https://drive.google.com/file/d/1TMeMn6eU0CVPVIDCGnsa3CxfX9K_ddlp/view?usp=drive_link
26/6/2026;1;10 COLCHONETAS;300.000,00;622,21;https://drive.google.com/file/d/1TY2Ie08NxJ8kLlXf6YlvIqLyFPhQKFtS/view?usp=drive_link
26/6/2026;40753;"INSUMOS MEDICOS 
(CATETER, ALGODON, SOLUCION, JERINGAS, GASAS..)";213.077,05;622,21;https://drive.google.com/file/d/1vQJ8lM13QxNW9hzsr_M2qvyTL51eYUQ6/view?usp=drive_link
26/6/2026;8698;ALIMENTOS VARIOS;289.355,62;622,21;https://drive.google.com/file/d/1IzRLpNtiOpWGufw9KRtTYkpCyLRb_BOU/view?usp=drive_link
26/6/2026;977821;1/4 QUESO Y HARINA PAN;5.970,00;622,21;https://drive.google.com/file/d/1jZfJQXI4Zkunw5BrbQ6sIA1Osnu6y0EW/view?usp=drive_link
26/6/2026;260044;AGUA DE 600ML;7.877,18;622,21;https://drive.google.com/file/d/1G-r2TGbNykRNJ9bcM-RQCzk6VOpA_1F0/view?usp=drive_link
26/6/2026;S/N;TURECARGA EXPRESS 2 BOTELLONES AGUA;14.000,00;622,21;https://drive.google.com/file/d/1piyUG4q_pC0DDT_3ClSoZ3O28_n8fVWD/view?usp=drive_link
26/6/2026;220893;DESECHABLES;46.872,32;622,21;https://drive.google.com/file/d/1kpg0bUnPAwBDRF5GWEehCDW5KsxeeMSp/view?usp=drive_link
26/6/2026;S/N;LINTERNAS;40.000,00;622,21;https://drive.google.com/file/d/1b0UFWpJ4zrInpRCi8mQo9ypZhHtfRHEr/view?usp=drive_link
26/6/2026;554305;VIATICOS MOISES;7.000,00;622,21;https://drive.google.com/file/d/1h1ZFAb0D6aPzgdFxTqxK9uAwsLYFAB7J/view?usp=drive_link
27/6/2026;367657;COMIDA EQUIPO;13.066,41;622,21;https://drive.google.com/file/d/13ekZhFLmK2H-FPVe-HZt_SnWU18si0ht/view?usp=drive_link
26/6/2026;17806007351;TRASLADO LA GUAIRA;12.133,16;622,21;https://drive.google.com/file/d/1V3s6io9aG9m_5niHcWIYfLV8I0P1HW07/view?usp=drive_link
26/6/2026;S/N;TRASLADO DANIEL EN EFECTIVO;2.000,00;622,21;Efectivo
27/6/2026;5031;AGUA;15.400,00;623,02;https://drive.google.com/file/d/1_KsKkFlMRYwDI8ioh1BgLylVBovkZeTa/view?usp=drive_link
27/6/2026;75372;MEDICAMENTOS;7.839,06;623,02;https://drive.google.com/file/d/1XRStXI9nirwpKaZr3DyjLMX_ae3z20wH/view?usp=drive_link
27/6/2026;75371;MEDICAMENTOS;219.073,06;623,02;https://drive.google.com/file/d/1Toe3Q8gzib-9WKfB0vaCE-08--vWKw6B/view?usp=drive_link
27/6/2026;201393;MEDICAMENTOS;64.507,60;623,02;https://drive.google.com/file/d/1kwh5kVXIBxkaf_RcEblUfKtjRc43tN5n/view?usp=drive_link
27/6/2026;61786541324;PAGOS RIDERY;1.246,04;623,02;https://drive.google.com/file/d/1r6e-QvQgtrAIKXTTu4VR7_iTjTn-fMZV/view?usp=drive_link
27/6/2026;61786772846;PAGOS RIDERY;1.246,04;623,02;https://drive.google.com/file/d/1JVYAmMynMV4BdRocWjXY2pzeuw2c9W05/view?usp=drive_link
28/6/2026;238;HIGIENE PERSONAL (CEPILLOS);9.954,47;623,02;https://drive.google.com/file/d/1gzC9942JjpCGETQKOrspiBsQydCrBw--/view?usp=drive_link
28/6/2026;110069;MEDICAMENTOS;195.973,01;623,02;https://drive.google.com/file/d/1hyiGcw0rXFejA9bV00_mXqF2jcyeIX7H/view?usp=drive_link
28/6/2026;16884;MEDICAMENTOS E INSUMOS MEDICOS;57.092,79;623,02;https://drive.google.com/file/d/1J8o-ND649NubhCkYaPGBhHHeQRfvnuDc/view?usp=drive_link
28/6/2026;9752;HIGIENE PERSONAL (PAPEL HIGIENICO, PAÑALES, DESODORANTES, ENTRE OTROS);412.205,43;623,02;https://drive.google.com/file/d/1Ya3cP92UWYbrc_jVfbRTJ4lb2ZpaY-uB/view?usp=drive_link
27/6/2026;69267;ALIMENTOS VARIOS;13.975,51;622,21;https://drive.google.com/file/d/1RJWhLIoLLsHilzNUBbW2w-7jWEGy9qyo/view?usp=drive_link
27/6/2026;6445;MEDICAMENTOS;27.400,53;622,21;https://drive.google.com/file/d/19tiutTDUN7-bVFiPtcL2QkUepHBvXifY/view?usp=drive_link
28/6/2026;61798433261;TRASLADO DANIEL;2.000,00Bs;623,02;https://drive.google.com/file/d/1KIOBXSy_jUkW22UhtKFM5nMAMi1VEuSD/view?usp=drive_link
28/6/2026;5451;TERMOMETROS DIGITALES;10.436,00Bs;623,02;https://drive.google.com/file/d/1Nfh3TSOgNLlRiPs8imcTRDz6Z1T1EWTr/view?usp=drive_link
28/6/2026;94112;MASCARILLAS QUIRURGICAS;6.139,86Bs;623,02;https://drive.google.com/file/d/1YBjDvnMFYC0Pg1aiih0YQ9mkGe_VCIG1/view?usp=drive_link
28/6/2026;252534;INSUMOS MEDICOS;50.012,58Bs;623,02;https://drive.google.com/file/d/1P_k70zhR85eqhkApSbg74OSJgt17z8WX/view?usp=drive_link
28/6/2026;264;ARTICULOS BEBES / CINTA EMBALAR;105.912,50Bs;623,02;https://drive.google.com/file/d/1SIbZyhGZaEN0caNy1hf2stvJb0NCnhX2/view?usp=drive_link
28/6/2026;S/N;JABONES HARMONY;14.530,35Bs;623,02;https://drive.google.com/file/d/1EwhkCNsq-6bLcOwvzh-eePp7hAlzca_C/view?usp=drive_link
28/6/2026;61798976065;GASOLINA;26.000,00Bs;623,02;https://drive.google.com/file/d/1bZxb8Ggdw4qeDB3hqSU-Hw3FZFsBKtqS/view?usp=drive_link
28/6/2026;61799028898;GASOLINA;6.500,00Bs;623,02;https://drive.google.com/file/d/16BCsVNHsK__T2eC4FkLuIMv7pd7zMYGt/view?usp=drive_link
28/6/2026;61799477393;CENA;23.235,00Bs;623,02;https://drive.google.com/file/d/1U2HafZYX6UVApO-beBqz273l4mjlWKXm/view?usp=drive_link
29/6/2026;9121;DESAYUNO;25.200,00Bs;623,02;https://drive.google.com/file/d/1ru0rB1bSDWo8J3N3vB54s4_L3jn3wwKX/view?usp=drive_link
29/6/2026;61809817665;TRASLADO MOTO TAXI;3.400,00Bs;623,02;https://drive.google.com/file/d/1bRXvL85GCqV1A9L5oO7YgE5ScxyRzETO/view?usp=drive_link
29/6/2026;13057;JUGO;2.690,00Bs;623,02;https://drive.google.com/file/d/1nKGDcsjMckzDJAWusfP0uGNbDiFmH5_j/view?usp=drive_link
28/6/2026;30176;MARCADORES;1.993,53Bs;622,21;https://drive.google.com/file/d/1KqW7QPnoKOdPed9QzhY38mDPMIKz2Rof/view?usp=drive_link
28/6/2026;16612;TIRROS DE PAPEL;6.167,91Bs;622,21;https://drive.google.com/file/d/1_QiyQH-R2zO6XL5JLna1eOiI2gFZhA0G/view?usp=drive_link
28/6/2026;23324;ALIMENTOS VARIOS;23.234,25Bs;622,21;https://drive.google.com/file/d/1UJbuVWdt3fqQsM-giCiKbF9nxHf4MZ73/view?usp=drive_link
28/6/2026;1608;BOLSAS PLASTICAS;9.973,30Bs;622,21;https://drive.google.com/file/d/1GxKjvIiSUJLABkt-_WIIpusxGMSQz-rc/view?usp=drive_link
29/6/2026;61801495775;VIATICOS LA GUAIRA;31.500,00Bs;623,02;https://drive.google.com/file/d/1VTKVrI1Oaru3SzE1LM9ou8dm8YEeGwl9/view?usp=drive_link
29/6/2026;61800575719;VERDURAS;3.525,00Bs;623,02;https://drive.google.com/file/d/1QJtsJeBM9XxoJpy8JnLzpmESfrGYlbFq/view?usp=drive_link
29/6/2026;61800142188;TAXI;3.500,00Bs;623,02;https://drive.google.com/file/d/1wKNpGPykcTOz8Z5N9chF97gXPTQNe-Te/view?usp=drive_link
29/6/2026;256034;ENCENDEDORES;6.853,04Bs;623,02;https://drive.google.com/file/d/1YMEovKSzC08VBW1FBsNKBDu7TWSlcq7T/view?usp=drive_link
29/6/2026;75463;MEDICAMENTOS;13.580,70Bs;623,02;https://drive.google.com/file/d/1if6a22uJ8rT6V3GxYqjkjek1JmlUJng9/view?usp=drive_link
29/6/2026;180;VERDURAS SOPA;16.273,80Bs;623,02;https://drive.google.com/file/d/1I6Pv4axBTHOHI8cz3dtUdvsv0Qif9DU8/view?usp=drive_link
29/6/2026;T61801752056;RECARGA ALEXANDRA;1.800,00Bs;623,02;https://drive.google.com/file/d/1C6lsI4PChWZjKBgC9jXcf1Qw2ayqUGJI/view?usp=drive_link
29/6/2026;S/N;DESECHABLES;8.560,00Bs;623,02;https://drive.google.com/file/d/149tNgPXSZtQvMEFG8Ic4jwuduJsBHYaP/view?usp=drive_link
29/6/2026;31124;ALIMENTOS VARIOS;82.327,01Bs;623,02;https://drive.google.com/file/d/1RNhEMUzoN4qp-kBFJPz6mEC8-sPturLQ/view?usp=drive_link
29/6/2026;256222;BOLSAS PLASTICAS;3.083,97Bs;623,02;https://drive.google.com/file/d/1tar4ZbS3SBJqUY1oRU2fjgAPoQIyUmf0/view?usp=drive_link
29/6/2026;256223;BOLSAS PLASTICAS;3.302,03Bs;623,02;https://drive.google.com/file/d/1KhQOeOVx09HzkYPILEABQxN694GlXvQD/view?usp=drive_link
